Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,28 - 56
Team 0,Player #1,1,71,75,50,34,28,36,58,72,68,50,58,A+,27,23.274,0
Team 0,Player #2,2,68,60,58,29,52,58,58,85,38,50,57,A+,27,20.8665,0
Team 0,Player #3,3,37,53,78,28,42,45,45,42,64,50,66,A+,27,18.915,0
Team 0,Player #4,4,45,45,66,66,62,37,61,44,58,58,67,A+,27,18.843,0
Team 0,Player #5,5,54,34,77,77,86,62,45,26,54,65,57,A+,27,21.322,0
Team 0,Player #6,1,80,80,50,20,35,36,36,84,50,66,65,A+,27,23.687,0
Team 0,Player #7,2,76,57,69,35,44,34,50,76,51,66,66,A+,27,21.4285,0
Team 0,Player #8,3,64,54,57,44,29,61,43,46,42,59,76,A+,27,19.795,0
Team 0,Player #9,4,45,36,54,69,53,61,53,28,53,59,94,A+,27,18.598,0
Team 0,Player #10,5,28,28,61,55,74,41,51,29,52,73,73,A+,27,17.496,0
Team 0,Player #11,1,88,77,36,28,39,53,44,86,47,57,50,A+,27,24.966,0
Team 0,Player #12,2,34,80,38,37,29,44,59,73,20,59,59,A+,27,21.5905,0
Team 0,Player #13,3,67,41,44,43,35,45,53,60,79,58,63,A+,27,20.465,0
Team 0,Player #14,4,50,61,44,67,70,49,65,28,59,75,67,A+,27,20.303,0
Team 0,Player #15,5,52,46,52,67,79,53,52,49,73,50,57,A+,27,20.907,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,74 - 10
Team 1,Player #1,1,104,102,100,100,100,100,100,100,100,50,50,F,27,30.06,0
Team 1,Player #2,2,101,101,100,100,100,100,100,101,100,50,50,F,27,27.186,0
Team 1,Player #3,3,103,100,106,100,100,100,100,100,102,50,50,F,27,27.48,0
Team 1,Player #4,4,100,100,100,101,100,100,103,100,101,50,51,F,27,27.317,0
Team 1,Player #5,5,101,100,100,101,102,100,100,100,100,50,50,F,27,29.434,0
Team 1,Player #6,1,100,101,100,100,102,100,100,100,101,51,52,F,27,29.69,0
Team 1,Player #7,2,100,100,104,100,101,100,100,101,100,50,50,F,27,27.088,0
Team 1,Player #8,3,100,104,100,100,101,101,100,102,101,50,51,F,27,27.55,0
Team 1,Player #9,4,100,101,101,101,100,102,100,100,102,50,53,F,27,27.428,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,27,29.275,0
Team 1,Player #11,1,100,100,102,100,100,102,101,101,100,50,51,F,27,29.604,0
Team 1,Player #12,2,100,100,100,100,100,100,100,100,100,50,50,F,27,27.065,0
Team 1,Player #13,3,100,100,100,101,102,101,100,100,100,50,50,F,27,27.14,0
Team 1,Player #14,4,102,102,103,100,100,100,101,100,100,50,50,F,27,27.514,0
Team 1,Player #15,5,101,100,102,102,101,100,100,101,101,50,50,F,27,29.471,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,59 - 25
Team 2,Player #1,1,97,82,89,74,80,89,104,96,88,57,58,C+,27,28.519,0
Team 2,Player #2,2,86,91,84,79,74,86,92,103,81,50,56,C+,27,25.292,0
Team 2,Player #3,3,93,102,87,79,92,91,93,94,81,50,57,C+,27,26.47,0
Team 2,Player #4,4,79,81,74,91,78,85,79,88,94,57,70,C+,27,24.188,0
Team 2,Player #5,5,82,101,85,91,109,78,89,74,99,50,60,C+,27,28.779,0
Team 2,Player #6,1,90,100,90,74,86,80,86,85,80,50,76,C+,27,28.452,0
Team 2,Player #7,2,87,91,81,74,85,98,79,97,87,50,50,C+,27,25.333,0
Team 2,Player #8,3,99,86,100,89,93,79,95,86,90,56,63,C+,27,26.32,0
