Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,1 - 83
Team 0,Player #1,1,37,28,34,27,20,20,27,36,29,50,50,A+,21,16.774,0
Team 0,Player #2,2,27,27,27,29,20,20,28,36,38,50,50,A+,21,14.8125,0
Team 0,Player #3,3,37,20,37,20,28,20,28,28,38,50,50,A+,21,15.865,0
Team 0,Player #4,4,20,36,29,35,35,20,20,28,26,58,58,A+,21,15.798,0
Team 0,Player #5,5,36,20,35,37,38,36,37,26,29,50,50,A+,21,17,0
Team 0,Player #6,1,36,37,35,20,20,20,20,36,34,58,50,A+,21,16.734,0
Team 0,Player #7,2,36,27,29,20,36,20,27,37,20,50,58,A+,21,15.6815,0
Team 0,Player #8,3,32,29,29,20,20,29,35,20,28,59,58,A+,21,15.185,0
Team 0,Player #9,4,20,20,27,35,29,28,28,20,20,59,59,A+,21,14.142,0
Team 0,Player #10,5,28,20,37,35,38,27,28,29,28,66,50,A+,21,15.879,0
Team 0,Player #11,1,36,38,20,20,31,28,27,37,34,50,50,A+,21,16.973,0
Team 0,Player #12,2,27,37,28,37,20,28,36,36,20,59,50,A+,21,15.9655,0
Team 0,Player #13,3,36,20,29,28,20,28,20,28,36,50,50,A+,21,15.665,0
Team 0,Player #14,4,28,28,28,27,27,26,28,28,28,58,57,A+,21,14.955,0
Team 0,Player #15,5,20,20,28,36,35,36,34,28,28,50,57,A+,21,14.912,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,80 - 4
Team 1,Player #1,1,102,102,100,100,100,100,100,100,100,50,50,F,21,29.8,0
Team 1,Player #2,2,101,100,100,100,100,100,100,100,100,50,50,F,21,27.175,0
Team 1,Player #3,3,102,100,100,100,100,100,100,100,101,50,50,F,21,27.31,0
Team 1,Player #4,4,100,100,100,100,100,100,100,100,100,50,50,F,21,27.265,0
Team 1,Player #5,5,100,100,100,101,101,100,100,100,100,50,50,F,21,29.3,0
Team 1,Player #6,1,100,101,100,100,100,100,100,100,100,50,51,F,21,29.67,0
Team 1,Player #7,2,100,100,100,100,100,100,100,100,100,50,50,F,21,27.065,0
Team 1,Player #8,3,100,103,100,100,100,100,100,100,100,50,50,F,21,27.4,0
Team 1,Player #9,4,100,100,100,101,100,100,100,100,100,50,53,F,21,27.277,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,21,29.275,0
Team 1,Player #11,1,100,100,102,100,100,100,100,101,100,50,50,F,21,29.57,0
Team 1,Player #12,2,100,100,100,100,100,100,100,100,100,50,50,F,21,27.065,0
Team 1,Player #13,3,100,100,100,100,100,100,100,100,100,50,50,F,21,27.1,0
Team 1,Player #14,4,100,101,103,100,100,100,101,100,100,50,50,F,21,27.414,0
Team 1,Player #15,5,100,100,102,100,101,100,100,101,100,50,50,F,21,29.319,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,58 - 26
Team 2,Player #1,1,83,74,74,74,74,74,81,74,74,57,50,C+,21,25.582,0
Team 2,Player #2,2,79,85,74,79,74,74,86,80,74,50,50,C+,21,23.942,0
Team 2,Player #3,3,79,85,81,74,80,80,81,80,74,50,50,C+,21,24,0
Team 2,Player #4,4,79,74,74,79,74,80,74,74,74,50,60,C+,21,23.342,0
Team 2,Player #5,5,74,81,74,74,81,74,81,74,74,50,50,C+,21,25.223,0
Team 2,Player #6,1,80,74,79,74,74,74,80,74,80,50,50,C+,21,25.284,0
Team 2,Player #7,2,74,74,81,74,74,74,74,79,74,50,50,C+,21,22.568,0
Team 2,Player #8,3,79,81,81,82,74,79,79,82,74,50,50,C+,21,23.61,0
Team 2,Player #9,4,74,84,82,81,74,74,78,79,74,57,57,C+,21,23.991,0
Team 2,Player #10,5,74,79,79,74,87,74,81,81,78,50,50,C+,21,25.209,0
Team 2,Player #11,1,84,82,74,74,74,87,78,79,80,57,50,C+,21,25.987,0
Team 2,Player #12,2,82,89,74,74,80,74,79,85,82,50,50,C+,21,24.455,0
Team 2,Player #13,3,79,79,87,74,74,74,74,74,74,55,50,C+,21,23.21,0
Team 2,Player #14,4,74,74,80,87,80,74,80,74,79,50,50,C+,21,23.138,0
Team 2,Player #15,5,80,74,80,80,81,81,74,80,80,50,55,C+,21,25.316,0
Team #3,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,43 - 41
Team 3,Player #1,1,62,62,62,62,62,62,71,66,62,50,50,D+,21,22.156,0
Team 3,Player #2,2,62,67,73,62,62,66,67,68,62,50,53,D+,21,21.199,0
Team 3,Player #3,3,67,67,67,65,62,62,62,62,66,56,50,D+,21,21.16,0
Team 3,Player #4,4,67,62,66,66,68,62,62,62,66,50,53,D+,21,21.37,0
Team 3,Player #5,5,65,62,65,70,66,66,62,66,65,50,54,D+,21,22.53,0
Team 3,Player #6,1,62,70,62,66,62,66,62,65,62,54,53,D+,21,23.186,0
Team 3,Player #7,2,66,66,62,62,62,65,62,67,65,50,56,D+,21,21.036,0
Team 3,Player #8,3,62,66,66,62,62,62,62,62,62,50,50,D+,21,20.98,0
