Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,7 - 77
Team 0,Player #1,1,54,43,43,27,20,30,34,42,43,50,58,A+,23,19.466,0
Team 0,Player #2,2,45,43,44,29,20,37,43,53,38,50,50,A+,23,17.3335,0
Team 0,Player #3,3,37,28,55,20,35,28,37,34,47,50,59,A+,23,16.435,0
Team 0,Player #4,4,29,45,44,43,43,37,36,28,35,58,58,A+,23,17.48,0
Team 0,Player #5,5,43,20,43,54,54,52,37,26,29,50,50,A+,23,18.475,0
Team 0,Player #6,1,50,54,35,20,28,20,20,54,42,66,56,A+,23,19.316,0
Team 0,Player #7,2,53,35,35,27,44,20,27,52,27,50,66,A+,23,17.9125,0
Team 0,Player #8,3,38,38,44,27,29,45,35,20,35,59,69,A+,23,16.325,0
Team 0,Player #9,4,20,28,44,44,37,37,36,20,28,59,68,A+,23,15.6,0
Team 0,Player #10,5,28,28,55,42,54,34,35,29,37,66,63,A+,23,16.619,0
Team 0,Player #11,1,54,54,29,20,31,36,27,54,34,50,50,A+,23,19.467,0
Team 0,Player #12,2,27,46,28,37,20,28,44,45,20,59,50,A+,23,17.1345,0
Team 0,Player #13,3,43,20,29,35,28,36,28,35,45,50,56,A+,23,16.835,0
Team 0,Player #14,4,28,28,37,43,44,42,44,28,44,58,57,A+,23,15.915,0
Team 0,Player #15,5,20,28,28,43,52,36,43,36,46,50,57,A+,23,16.514,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,77 - 7
Team 1,Player #1,1,102,102,100,100,100,100,100,100,100,50,50,F,23,29.66,0
Team 1,Player #2,2,101,100,100,100,100,100,100,101,100,50,50,F,23,27.021,0
Team 1,Player #3,3,102,100,102,100,100,100,100,100,102,50,50,F,23,26.8715675675676,0
Team 1,Player #4,4,100,100,100,100,100,100,102,100,101,50,50,F,23,27.23,0
Team 1,Player #5,5,100,100,100,101,102,100,100,100,100,50,50,F,23,29.239,0
Team 1,Player #6,1,100,101,100,100,100,100,100,100,100,51,51,F,23,29.53,0
Team 1,Player #7,2,100,100,100,100,101,100,100,100,100,50,50,F,23,26.908,0
Team 1,Player #8,3,100,104,100,100,100,101,100,100,100,50,50,F,23,27.41,0
Team 1,Player #9,4,100,100,101,101,100,102,100,100,102,50,53,F,23,27.263,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,23,29.2,0
Team 1,Player #11,1,100,100,102,100,100,102,100,101,100,50,51,F,23,29.456,0
Team 1,Player #12,2,100,100,100,100,100,100,100,100,100,50,50,F,23,26.9,0
Team 1,Player #13,3,100,100,100,100,100,100,100,100,100,50,50,F,23,27,0
Team 1,Player #14,4,102,101,103,100,100,100,101,100,100,50,50,F,23,27.449,0
Team 1,Player #15,5,101,100,102,100,101,100,100,101,100,50,50,F,23,29.364,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,54 - 30
Team 2,Player #1,1,83,82,74,74,74,81,87,80,74,57,54,C+,23,25.945,0
Team 2,Player #2,2,79,85,79,79,74,86,86,87,81,50,50,C+,23,24.391,0
Team 2,Player #3,3,86,97,81,74,87,80,81,80,74,50,50,C+,23,25.37,0
Team 2,Player #4,4,79,74,74,85,74,80,79,74,74,57,66,C+,23,23.529,0
Team 2,Player #5,5,74,87,79,80,87,74,81,74,86,50,50,C+,23,26.348,0
Team 2,Player #6,1,85,86,86,74,80,80,80,74,80,50,50,C+,23,26.368,0
Team 2,Player #7,2,82,87,81,74,74,86,79,86,74,50,50,C+,23,24.422,0
Team 2,Player #8,3,79,81,81,89,81,79,86,82,82,50,50,C+,23,24,0
Team 2,Player #9,4,74,84,82,88,74,86,78,79,80,57,57,C+,23,24.308,0
Team 2,Player #10,5,74,85,90,74,93,74,81,81,78,50,56,C+,23,26.22,0
Team 2,Player #11,1,96,82,74,74,79,92,78,83,80,57,57,C+,23,27.833,0
Team 2,Player #12,2,82,89,74,74,80,81,85,91,82,50,58,C+,23,24.823,0
Team 2,Player #13,3,79,79,97,74,74,79,80,74,81,55,54,C+,23,23.59,0
Team 2,Player #14,4,82,80,80,94,80,74,87,86,79,57,50,C+,23,24.241,0
Team 2,Player #15,5,80,74,80,87,81,81,79,80,85,50,55,C+,23,25.573,0
Team #3,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,47 - 37
Team 3,Player #1,1,65,66,62,62,62,62,71,75,67,50,50,D+,23,22.852,0
Team 3,Player #2,2,66,67,73,67,62,66,67,72,62,50,57,D+,23,21.283,0
Team 3,Player #3,3,70,70,67,65,62,62,62,62,70,56,50,D+,23,21.5,0
Team 3,Player #4,4,67,66,66,69,73,62,67,62,69,50,56,D+,23,21.541,0
Team 3,Player #5,5,65,62,71,70,69,66,62,66,65,50,54,D+,23,22.644,0
Team 3,Player #6,1,62,70,70,66,66,66,62,65,62,54,53,D+,23,23.27,0
Team 3,Player #7,2,71,70,62,65,62,65,66,67,65,50,56,D+,23,21.65,0
Team 3,Player #8,3,65,70,71,62,62,62,62,66,72,50,50,D+,23,21.57,0
Team 3,Player #9,4,67,69,68,62,62,62,67,65,68,54,56,D+,23,21.573,0
Team 3,Player #10,5,66,62,71,71,67,62,62,65,68,50,54,D+,23,22.739,0
Team 3,Player #11,1,62,74,62,62,65,62,62,70,68,50,50,D+,23,23.775,0
Team 3,Player #12,2,75,71,62,62,62,66,62,62,62,50,50,D+,23,21.952,0
Team 3,Player #13,3,62,66,69,65,68,62,68,62,70,50,57,D+,23,21.24,0
Team 3,Player #14,4,62,66,65,70,65,62,65,66,68,50,50,D+,23,21.35,0
Team 3,Player #15,5,62,65,66,72,67,62,62,62,66,50,50,D+,23,22.532,0
Team #4,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,42 - 42
Team 4,Player #1,1,81,81,67,62,68,66,62,82,79,56,55,B+,23,25.07,0
Team 4,Player #2,2,68,66,68,62,72,62,62,84,62,56,65,B+,23,21.466,0
Team 4,Player #3,3,75,62,75,69,62,73,73,67,89,50,57,B+,23,22.58,0
Team 4,Player #4,4,75,68,68,72,62,62,68,74,67,55,55,B+,23,22.356,0
Team 4,Player #5,5,68,68,62,77,74,67,62,67,69,50,56,B+,23,23.097,0
Team 4,Player #6,1,69,82,67,62,68,68,62,77,67,50,62,B+,23,25.036,0
Team 4,Player #7,2,72,73,62,62,62,68,62,72,62,50,55,B+,23,21.864,0
Team 4,Player #8,3,72,74,68,62,62,62,67,82,74,55,58,B+,23,22.17,0
Team 4,Player #9,4,78,77,72,62,68,62,69,62,62,50,58,B+,23,22.53,0
Team 4,Player #10,5,75,76,73,76,80,67,68,62,72,50,57,B+,23,24.328,0
