Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,51 - 33
Team 0,Player #1,1,103,100,50,34,46,44,82,101,76,50,65,A+,34,27.786,0
Team 0,Player #2,2,92,77,75,29,58,75,75,108,54,64,73,A+,34,24.3415,0
Team 0,Player #3,3,67,69,85,36,56,70,52,57,73,50,75,A+,34,21.365,0
Team 0,Player #4,4,71,60,90,98,76,50,85,53,66,58,75,A+,34,22.793,0
Team 0,Player #5,5,78,34,99,93,109,70,45,35,71,73,57,A+,34,25.252,0
Team 0,Player #6,1,95,109,50,20,42,53,62,117,69,66,65,A+,34,28.573,0
Team 0,Player #7,2,92,90,77,35,44,40,59,106,67,66,73,A+,34,23.8425,0
Team 0,Player #8,3,99,77,80,60,45,70,58,54,66,66,76,A+,34,24.405,0
Team 0,Player #9,4,60,44,75,87,67,70,84,37,60,59,110,A+,34,21.265,0
Team 0,Player #10,5,52,44,84,71,108,65,51,29,65,81,82,A+,34,21.626,0
Team 0,Player #11,1,112,101,44,28,54,86,51,117,78,71,58,A+,34,29.454,0
Team 0,Player #12,2,58,106,64,45,44,44,84,101,34,67,66,A+,34,25.3585,0
Team 0,Player #13,3,102,47,69,50,47,52,74,70,96,78,80,A+,34,24.955,0
Team 0,Player #14,4,60,77,79,90,78,56,84,28,90,75,67,A+,34,23.285,0
Team 0,Player #15,5,61,53,69,90,112,76,69,49,91,50,65,A+,34,23.457,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,40 - 44
Team 1,Player #1,1,71,69,70,67,76,68,68,69,77,17,16,F,34,23.021803125,0
Team 1,Player #2,2,68,67,76,66,75,70,67,70,68,19,18,F,34,22.0165,0
Team 1,Player #3,3,71,68,75,65,67,76,71,70,69,13,22,F,34,22.555,0
Team 1,Player #4,4,66,67,70,78,67,69,71,71,75,18,21,F,34,22.401,0
Team 1,Player #5,5,69,66,69,78,69,71,66,66,73,21,21,F,34,23.892,0
Team 1,Player #6,1,70,70,68,69,71,67,67,72,70,20,28,F,34,24.008,0
Team 1,Player #7,2,71,68,74,68,69,65,68,79,68,19,23,F,34,22.3665,0
Team 1,Player #8,3,68,69,69,66,68,65,66,68,69,17,18,F,34,22.135,0
Team 1,Player #9,4,71,71,69,66,76,70,67,70,67,18,19,F,34,21.8099375,0
Team 1,Player #10,5,69,68,78,76,70,66,67,69,67,22,16,F,34,8.1187021875,0
Team 1,Player #11,1,75,68,68,70,68,69,69,77,68,16,19,F,34,24.6285675,0
Team 1,Player #12,2,65,69,68,71,68,69,66,69,69,18,15,F,34,22.0805,0
Team 1,Player #13,3,68,76,68,68,70,70,73,64,66,18,15,F,34,21.6658703125,0
Team 1,Player #14,4,75,66,70,64,70,65,71,68,66,16,18,F,34,22.919,0
Team 1,Player #15,5,67,68,73,68,68,68,68,68,76,22,17,F,34,21.10755,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,65 - 19
Team 2,Player #1,1,97,88,86,71,77,92,100,97,95,61,62,C+,34,28.413,0
Team 2,Player #2,2,83,91,84,76,77,83,94,103,77,46,59,C+,34,25.074,0
Team 2,Player #3,3,93,105,87,74,92,91,93,98,88,45,54,C+,34,26.73,0
Team 2,Player #4,4,83,78,81,91,74,82,79,84,90,57,69,C+,34,24.275,0
Team 2,Player #5,5,85,98,93,87,110,74,88,69,95,47,60,C+,34,28.297,0
Team 2,Player #6,1,96,104,86,76,82,77,92,94,77,50,73,C+,34,28.897,0
Team 2,Player #7,2,82,94,81,70,81,101,79,112,94,45,46,C+,34,25.702,0
Team 2,Player #8,3,112,92,101,83,96,87,91,86,93,53,65,C+,34,27.57,0
Team 2,Player #9,4,81,85,89,99,87,98,80,80,98,62,64,C+,34,25.024,0
Team 2,Player #10,5,92,88,85,82,122,81,84,87,104,58,59,C+,34,27.804,0
Team 2,Player #11,1,96,87,74,69,83,105,85,105,86,54,63,C+,34,28.276,0
Team 2,Player #12,2,84,97,88,71,77,83,82,104,85,54,66,C+,34,25.669,0
Team 2,Player #13,3,82,99,111,75,75,88,80,90,81,51,63,C+,34,25.9,0
Team 2,Player #14,4,105,83,105,104,83,81,89,90,94,54,51,C+,34,27.215,0
Team 2,Player #15,5,87,79,87,92,104,99,84,76,87,45,64,C+,34,26.994,0
Team #3,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,32 - 52
Team 3,Player #1,1,56,60,61,45,52,58,68,82,63,33,51,D+,34,21.894,0
Team 3,Player #2,2,57,73,63,50,52,48,53,76,57,33,38,D+,34,21.373,0
Team 3,Player #3,3,59,62,73,46,45,57,44,46,69,37,37,D+,34,20,0
Team 3,Player #4,4,60,63,64,73,58,57,46,44,66,33,51,D+,34,20.587,0
Team 3,Player #5,5,60,55,68,75,68,60,47,61,63,44,37,D+,34,21.786,0
Team 3,Player #6,1,69,75,55,56,49,68,50,77,61,38,44,D+,34,23.743,0
Team 3,Player #7,2,80,58,58,52,44,44,51,73,55,34,39,D+,34,21.973,0
Team 3,Player #8,3,50,66,64,50,49,57,54,53,66,36,30,D+,34,20.53,0
Team 3,Player #9,4,55,72,52,48,44,57,49,45,65,30,43,D+,34,20.904,0
