Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,31 - 53
Team 0,Player #1,1,79,84,50,34,39,36,67,79,68,50,58,A+,28,24.669,0
Team 0,Player #2,2,75,69,67,29,52,66,67,93,38,50,65,A+,28,21.9115,0
Team 0,Player #3,3,45,61,78,28,48,53,45,42,64,50,66,A+,28,19.855,0
Team 0,Player #4,4,55,52,74,72,69,37,70,44,58,58,67,A+,28,20.186,0
Team 0,Player #5,5,54,34,85,85,86,62,45,26,62,65,57,A+,28,21.586,0
Team 0,Player #6,1,87,86,50,20,42,45,46,91,50,66,65,A+,28,24.927,0
Team 0,Player #7,2,84,66,77,35,44,34,50,84,59,66,66,A+,28,22.4845,0
Team 0,Player #8,3,73,62,57,44,29,61,51,46,42,59,76,A+,28,20.775,0
Team 0,Player #9,4,45,44,62,69,53,70,61,28,53,59,102,A+,28,18.863,0
Team 0,Player #10,5,36,28,68,55,83,49,51,29,52,81,73,A+,28,18.73,0
Team 0,Player #11,1,96,77,36,28,39,60,44,93,54,64,50,A+,28,26.265,0
Team 0,Player #12,2,43,89,38,37,29,44,68,81,26,59,59,A+,28,22.8185,0
Team 0,Player #13,3,75,41,50,43,35,52,53,60,79,58,72,A+,28,21.395,0
Team 0,Player #14,4,50,69,52,67,70,49,76,28,67,75,67,A+,28,21.397,0
Team 0,Player #15,5,52,46,60,74,87,61,61,49,73,50,57,A+,28,21.355,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,70 - 14
Team 1,Player #1,1,104,102,100,100,100,100,100,100,100,50,50,F,28,29.92,0
Team 1,Player #2,2,101,101,100,100,100,100,100,101,100,50,50,F,28,27.021,0
Team 1,Player #3,3,103,100,106,100,100,100,100,100,102,50,50,F,28,27.38,0
Team 1,Player #4,4,100,100,100,101,100,100,103,100,101,50,51,F,28,27.2363163636363,0
Team 1,Player #5,5,101,100,100,101,102,100,100,100,100,50,50,F,28,29.359,0
Team 1,Player #6,1,100,101,100,100,102,100,100,100,101,51,52,F,28,29.55,0
Team 1,Player #7,2,100,100,104,100,101,100,100,101,100,50,50,F,28,26.923,0
Team 1,Player #8,3,100,104,100,100,101,101,100,102,101,50,51,F,28,27.45,0
Team 1,Player #9,4,100,101,101,101,100,102,100,100,102,50,53,F,28,27.363,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,28,29.2,0
Team 1,Player #11,1,100,100,102,100,100,102,101,101,100,50,51,F,28,29.464,0
Team 1,Player #12,2,100,100,100,100,100,100,100,100,100,50,50,F,28,26.9,0
Team 1,Player #13,3,100,100,100,101,102,101,100,100,100,50,50,F,28,27.04,0
Team 1,Player #14,4,102,102,103,100,100,100,101,100,100,50,50,F,28,27.449,0
Team 1,Player #15,5,101,100,102,102,101,100,100,101,101,50,50,F,28,29.396,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,60 - 24
Team 2,Player #1,1,97,88,89,74,80,96,104,96,88,64,65,C+,28,28.47,0
Team 2,Player #2,2,86,91,89,79,74,86,92,103,81,50,62,C+,28,25.132,0
Team 2,Player #3,3,93,102,87,79,92,91,98,94,88,50,57,C+,28,26.49,0
Team 2,Player #4,4,79,81,74,91,78,85,79,88,94,57,74,C+,28,24.123,0
Team 2,Player #5,5,88,101,91,91,109,78,89,74,99,50,60,C+,28,28.776,0
Team 2,Player #6,1,96,100,90,74,86,80,92,89,80,50,76,C+,28,28.416,0
Team 2,Player #7,2,87,97,81,74,85,98,79,105,94,50,50,C+,28,25.986,0
Team 2,Player #8,3,105,86,107,89,99,87,95,86,90,56,70,C+,28,27.03,0
Team 2,Player #9,4,81,89,89,102,80,93,85,84,92,65,67,C+,28,25.356,0
Team 2,Player #10,5,92,85,90,85,117,79,87,91,107,56,63,C+,28,27.898,0
Team 2,Player #11,1,101,92,80,74,85,105,84,105,86,57,57,C+,28,29.006,0
Team 2,Player #12,2,89,100,92,74,80,88,85,104,89,57,69,C+,28,26.176,0
Team 2,Player #13,3,85,98,108,80,80,92,80,84,81,55,63,C+,28,25.85,0
Team 2,Player #14,4,99,86,97,104,86,87,93,93,94,57,56,C+,28,26.659,0
Team 2,Player #15,5,80,79,90,96,100,93,84,80,90,50,69,C+,28,26.184,0
Team #3,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,43 - 41
Team 3,Player #1,1,73,73,74,62,62,71,75,82,74,50,56,D+,28,24.655,0
Team 3,Player #2,2,70,78,76,67,69,66,72,82,74,50,57,D+,28,23.2745,0
Team 3,Player #3,3,73,83,80,65,62,62,62,62,76,56,54,D+,28,23.515,0
Team 3,Player #4,4,71,69,76,79,77,75,67,62,72,50,65,D+,28,22.922,0
Team 3,Player #5,5,71,66,86,81,73,66,65,71,75,56,57,D+,28,24.424,0
Team 3,Player #6,1,76,75,70,66,69,80,66,77,68,54,59,D+,28,24.987,0
Team 3,Player #7,2,80,77,74,70,62,65,71,80,65,50,56,D+,28,23.3275,0
Team 3,Player #8,3,69,78,76,67,65,68,67,70,81,50,50,D+,28,23.265,0
Team 3,Player #9,4,72,77,72,62,62,62,67,65,72,54,60,D+,28,23.005,0
Team 3,Player #10,5,73,67,80,75,74,66,62,65,76,50,58,D+,28,24.481,0
Team 3,Player #11,1,70,82,68,65,69,65,71,82,72,50,50,D+,28,25.7,0
