Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,13 - 71
Team 0,Player #1,1,63,51,43,27,20,30,34,48,52,50,58,A+,24,20.81,0
Team 0,Player #2,2,45,51,44,29,29,43,50,62,38,50,50,A+,24,18.3005,0
Team 0,Player #3,3,37,37,55,20,42,35,37,42,47,50,59,A+,24,16.655,0
Team 0,Player #4,4,37,45,52,51,43,37,45,35,42,58,67,A+,24,17.889,0
Team 0,Player #5,5,49,20,51,61,62,52,37,26,38,57,57,A+,24,19.57,0
Team 0,Player #6,1,57,62,35,20,28,27,20,60,42,66,56,A+,24,20.531,0
Team 0,Player #7,2,53,35,44,27,44,27,27,61,34,50,66,A+,24,18.1675,0
Team 0,Player #8,3,38,38,44,27,29,45,35,20,35,59,69,A+,24,16.325,0
Team 0,Player #9,4,29,28,44,52,45,45,44,28,35,59,68,A+,24,16.162,0
Team 0,Player #10,5,28,28,61,49,54,41,43,29,37,66,63,A+,24,16.912,0
Team 0,Player #11,1,62,60,29,20,31,36,36,62,34,57,50,A+,24,20.691,0
Team 0,Player #12,2,27,55,38,37,20,35,51,51,20,59,50,A+,24,18.3475,0
Team 0,Player #13,3,43,28,36,35,28,36,36,43,52,50,56,A+,24,17.135,0
Team 0,Player #14,4,28,37,44,43,53,42,51,28,51,65,67,A+,24,17.145,0
Team 0,Player #15,5,28,38,34,43,62,45,43,43,53,50,57,A+,24,18.11,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,72 - 12
Team 1,Player #1,1,102,102,100,100,100,100,100,100,100,50,50,F,24,29.66,0
Team 1,Player #2,2,101,100,100,100,100,100,100,101,100,50,50,F,24,27.021,0
Team 1,Player #3,3,103,100,102,100,100,100,100,100,102,50,50,F,24,27.34,0
Team 1,Player #4,4,100,100,100,100,100,100,103,100,101,50,50,F,24,27.24,0
Team 1,Player #5,5,101,100,100,101,102,100,100,100,100,50,50,F,24,29.359,0
Team 1,Player #6,1,100,101,100,100,100,100,100,100,100,51,52,F,24,29.53,0
Team 1,Player #7,2,100,100,104,100,101,100,100,101,100,50,50,F,24,26.923,0
Team 1,Player #8,3,100,104,100,100,101,101,100,100,100,50,51,F,24,27.42,0
Team 1,Player #9,4,100,100,101,101,100,102,100,100,102,50,53,F,24,27.263,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,24,29.2,0
Team 1,Player #11,1,100,100,102,100,100,102,101,101,100,50,51,F,24,29.464,0
Team 1,Player #12,2,100,100,100,100,100,100,100,100,100,50,50,F,24,26.9,0
Team 1,Player #13,3,100,100,100,100,100,100,100,100,100,50,50,F,24,27,0
Team 1,Player #14,4,102,102,103,100,100,100,101,100,100,50,50,F,24,27.449,0
Team 1,Player #15,5,101,100,102,100,101,100,100,101,101,50,50,F,24,29.374,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,58 - 26
Team 2,Player #1,1,83,82,82,74,74,81,91,86,82,57,54,C+,24,26.065,0
Team 2,Player #2,2,86,85,84,79,74,86,86,94,81,50,50,C+,24,24.418,0
Team 2,Player #3,3,86,102,81,74,87,80,81,87,81,50,57,C+,24,25.91,0
Team 2,Player #4,4,79,74,74,91,74,85,79,80,79,57,66,C+,24,23.673,0
Team 2,Player #5,5,82,87,79,80,93,74,81,74,86,50,56,C+,24,26.357,0
Team 2,Player #6,1,90,94,90,74,80,80,80,80,80,50,55,C+,24,27.384,0
Team 2,Player #7,2,82,87,81,74,74,92,79,86,74,50,50,C+,24,24.323,0
Team 2,Player #8,3,85,86,88,89,87,79,86,86,82,50,50,C+,24,24.57,0
Team 2,Player #9,4,81,84,82,93,74,86,78,79,80,57,62,C+,24,24.303,0
Team 2,Player #10,5,79,85,90,74,99,74,87,81,84,50,56,C+,24,26.355,0
Team 2,Player #11,1,96,88,74,74,79,92,78,87,80,57,57,C+,24,27.749,0
Team 2,Player #12,2,82,94,74,74,80,81,85,91,82,50,64,C+,24,25.208,0
Team 2,Player #13,3,79,85,97,74,80,86,80,78,81,55,54,C+,24,24.26,0
Team 2,Player #14,4,89,80,85,99,80,81,87,86,79,57,50,C+,24,25.064,0
Team 2,Player #15,5,80,74,84,92,81,87,79,80,85,50,61,C+,24,25.649,0
Team #3,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,59 - 25
Team 3,Player #1,1,65,66,67,62,62,62,71,78,67,50,50,D+,24,22.934,0
Team 3,Player #2,2,66,67,73,67,62,66,67,76,62,50,57,D+,24,21.327,0
Team 3,Player #3,3,70,76,67,65,62,62,62,62,76,56,50,D+,24,22.16,0
Team 3,Player #4,4,67,66,70,69,73,62,67,62,69,50,56,D+,24,21.593,0
Team 3,Player #5,5,65,62,75,70,69,66,62,71,65,50,54,D+,24,22.722,0
