Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,15 - 69
Team 0,Player #1,1,71,68,50,27,28,30,49,64,61,50,58,A+,26,22.38,0
Team 0,Player #2,2,60,60,58,29,44,58,50,77,38,50,50,A+,26,19.7545,0
Team 0,Player #3,3,37,45,72,28,42,45,45,42,64,50,66,A+,26,18.055,0
Team 0,Player #4,4,45,45,59,58,53,37,52,44,58,58,67,A+,26,18.467,0
Team 0,Player #5,5,54,28,69,69,79,52,45,26,54,65,57,A+,26,20.96,0
Team 0,Player #6,1,73,80,42,20,35,36,28,76,50,66,65,A+,26,23.447,0
Team 0,Player #7,2,68,48,61,35,44,34,43,69,42,57,66,A+,26,20.3035,0
Team 0,Player #8,3,56,54,57,35,29,61,43,38,42,59,69,A+,26,18.825,0
Team 0,Player #9,4,45,28,54,60,53,61,53,28,44,59,85,A+,26,18.4,0
Team 0,Player #10,5,28,28,61,55,67,41,43,29,45,73,73,A+,26,17.24,0
Team 0,Player #11,1,80,70,29,28,31,44,44,78,40,57,50,A+,26,23.531,0
Team 0,Player #12,2,27,71,38,37,29,44,59,66,20,59,59,A+,26,20.5235,0
Team 0,Player #13,3,59,41,44,43,35,36,44,52,71,58,63,A+,26,19.325,0
Team 0,Player #14,4,43,53,44,60,61,49,59,28,59,75,67,A+,26,19.26,0
Team 0,Player #15,5,43,46,43,59,79,53,52,43,67,50,57,A+,26,19.895,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,70 - 14
Team 1,Player #1,1,104,102,100,100,100,100,100,100,100,50,50,F,26,29.92,0
Team 1,Player #2,2,101,101,100,100,100,100,100,101,100,50,50,F,26,27.021,0
Team 1,Player #3,3,103,100,106,100,100,100,100,100,102,50,50,F,26,27.38,0
Team 1,Player #4,4,100,100,100,101,100,100,103,100,101,50,51,F,26,27.252,0
Team 1,Player #5,5,101,100,100,101,102,100,100,100,100,50,50,F,26,29.359,0
Team 1,Player #6,1,100,101,100,100,102,100,100,100,101,51,52,F,26,29.55,0
Team 1,Player #7,2,100,100,104,100,101,100,100,101,100,50,50,F,26,26.923,0
Team 1,Player #8,3,100,104,100,100,101,101,100,102,101,50,51,F,26,27.45,0
Team 1,Player #9,4,100,101,101,101,100,102,100,100,102,50,53,F,26,27.363,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,26,29.2,0
Team 1,Player #11,1,100,100,102,100,100,102,101,101,100,50,51,F,26,29.464,0
Team 1,Player #12,2,100,100,100,100,100,100,100,100,100,50,50,F,26,26.9,0
Team 1,Player #13,3,100,100,100,101,102,101,100,100,100,50,50,F,26,27.04,0
Team 1,Player #14,4,102,102,103,100,100,100,101,100,100,50,50,F,26,27.449,0
