Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,35 - 49
Team 0,Player #1,1,88,84,50,34,39,44,75,87,68,50,58,A+,29,25.469,0
Team 0,Player #2,2,84,69,67,29,52,66,75,100,46,57,65,A+,29,23.1385,0
Team 0,Player #3,3,53,69,78,28,56,62,52,49,64,50,66,A+,29,20.965,0
Team 0,Player #4,4,62,52,82,80,69,44,70,53,66,58,67,A+,29,21.292,0
Team 0,Player #5,5,61,34,93,85,95,62,45,26,71,73,57,A+,29,22.738,0
Team 0,Player #6,1,87,94,50,20,42,45,53,102,56,66,65,A+,29,26.107,0
Team 0,Player #7,2,84,73,77,35,44,34,50,91,59,66,66,A+,29,22.5615,0
Team 0,Player #8,3,82,62,64,44,38,70,51,46,50,66,76,A+,29,22.005,0
Team 0,Player #9,4,45,44,69,78,53,70,69,37,53,59,110,A+,29,19.205,0
Team 0,Player #10,5,44,36,68,64,92,57,51,29,58,81,73,A+,29,20.039,0
Team 0,Player #11,1,96,85,36,28,47,68,44,99,62,64,50,A+,29,26.573,0
Team 0,Player #12,2,51,89,45,37,36,44,76,88,26,59,66,A+,29,23.0385,0
Team 0,Player #13,3,84,41,59,43,42,52,64,60,87,69,72,A+,29,22.645,0
Team 0,Player #14,4,50,69,62,74,70,56,84,28,76,75,67,A+,29,21.844,0
Team 0,Player #15,5,52,46,69,83,95,61,61,49,73,50,65,A+,29,21.674,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,76 - 8
Team 1,Player #1,1,104,102,100,100,100,100,100,100,100,50,50,F,29,29.92,0
Team 1,Player #2,2,101,101,100,100,100,100,100,101,100,50,50,F,29,27.021,0
Team 1,Player #3,3,103,100,106,100,100,100,100,100,102,50,50,F,29,27.38,0
Team 1,Player #4,4,100,100,100,101,100,100,103,100,101,50,51,F,29,27.252,0
Team 1,Player #5,5,101,100,100,101,102,100,100,100,100,50,50,F,29,29.359,0
Team 1,Player #6,1,100,101,100,100,102,100,100,100,101,51,52,F,29,29.55,0
Team 1,Player #7,2,100,100,104,100,101,100,100,101,100,50,50,F,29,26.923,0
Team 1,Player #8,3,100,104,100,100,101,101,100,102,101,50,51,F,29,27.45,0
Team 1,Player #9,4,100,101,101,101,100,102,100,100,102,50,53,F,29,27.363,0
Team 1,Player #10,5,100,100,100,100,100,100,100,100,100,52,50,F,29,29.2,0
