Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,53 - 31
Team 0,Player #1,1,103,100,50,34,46,44,82,101,76,50,65,A+,32,27.786,0
Team 0,Player #2,2,92,77,75,29,58,75,75,108,54,64,73,A+,32,24.3415,0
Team 0,Player #3,3,67,69,85,36,56,70,52,57,73,50,75,A+,32,21.365,0
Team 0,Player #4,4,71,60,90,98,76,50,85,53,66,58,75,A+,32,22.793,0
Team 0,Player #5,5,78,34,99,93,109,70,45,35,71,73,57,A+,32,25.252,0
Team 0,Player #6,1,95,109,50,20,42,53,62,117,69,66,65,A+,32,28.573,0
Team 0,Player #7,2,92,90,77,35,44,40,59,106,67,66,73,A+,32,23.8425,0
Team 0,Player #8,3,99,77,80,60,45,70,58,54,66,66,76,A+,32,24.405,0
Team 0,Player #9,4,60,44,75,87,67,70,84,37,60,59,110,A+,32,21.265,0
Team 0,Player #10,5,52,44,84,71,108,65,51,29,65,81,82,A+,32,21.626,0
Team 0,Player #11,1,112,101,44,28,54,86,51,117,78,71,58,A+,32,29.454,0
Team 0,Player #12,2,58,106,64,45,44,44,84,101,34,67,66,A+,32,25.3585,0
Team 0,Player #13,3,102,47,69,50,47,52,74,70,96,78,80,A+,32,24.955,0
Team 0,Player #14,4,60,77,79,90,78,56,84,28,90,75,67,A+,32,23.285,0
Team 0,Player #15,5,61,53,69,90,112,76,69,49,91,50,65,A+,32,23.457,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,64 - 20
Team 1,Player #1,1,88,86,85,82,90,82,86,82,93,33,32,F,32,27.374,0
Team 1,Player #2,2,84,84,92,84,84,87,85,86,85,34,33,F,32,24.7215,0
Team 1,Player #3,3,86,84,90,81,83,91,84,86,87,33,37,F,32,25.145,0
Team 1,Player #4,4,82,85,85,86,85,85,88,86,84,34,35,F,32,25.199,0
Team 1,Player #5,5,83,85,86,93,85,85,83,82,86,34,36,F,32,26.93,0
Team 1,Player #6,1,85,86,82,85,88,83,83,86,87,36,45,F,32,27.083,0
Team 1,Player #7,2,87,85,91,85,86,81,84,87,82,35,35,F,32,24.9795,0
Team 1,Player #8,3,84,87,86,82,84,84,82,86,84,35,34,F,32,25.105,0
Team 1,Player #9,4,85,87,84,83,84,85,83,84,84,35,35,F,32,25.275,0
Team 1,Player #10,5,84,85,92,93,85,84,84,82,83,38,33,F,32,26.975,0
Team 1,Player #11,1,83,84,85,84,85,85,85,93,85,33,34,F,32,26.946,0
