Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,44 - 40
Team 0,Player #1,1,103,100,50,34,46,44,82,101,76,50,65,A+,31,27.926,0
Team 0,Player #2,2,92,77,75,29,58,75,75,108,54,64,73,A+,31,24.5065,0
Team 0,Player #3,3,67,69,85,36,56,70,52,57,73,50,75,A+,31,21.465,0
Team 0,Player #4,4,71,60,90,98,76,50,85,53,66,58,75,A+,31,22.858,0
Team 0,Player #5,5,78,34,99,93,109,70,45,35,71,73,57,A+,31,25.327,0
Team 0,Player #6,1,95,109,50,20,42,53,62,117,69,66,65,A+,31,28.713,0
Team 0,Player #7,2,92,90,77,35,44,40,59,106,67,66,73,A+,31,24.0075,0
Team 0,Player #8,3,99,77,80,60,45,70,58,54,66,66,76,A+,31,24.505,0
Team 0,Player #9,4,60,44,75,87,67,70,84,37,60,59,110,A+,31,21.33,0
Team 0,Player #10,5,52,44,84,71,108,65,51,29,65,81,82,A+,31,21.701,0
Team 0,Player #11,1,112,101,44,28,54,86,51,117,78,71,58,A+,31,29.594,0
Team 0,Player #12,2,58,106,64,45,44,44,84,101,34,67,66,A+,31,25.5235,0
Team 0,Player #13,3,102,47,69,50,47,52,74,70,96,78,80,A+,31,25.055,0
Team 0,Player #14,4,60,77,79,90,78,56,84,28,90,75,67,A+,31,23.35,0
Team 0,Player #15,5,61,53,69,90,112,76,69,49,91,50,65,A+,31,23.532,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,65 - 19
Team 1,Player #1,1,95,94,93,92,90,91,94,92,93,42,41,F,31,28.249,0
Team 1,Player #2,2,92,92,100,91,90,94,93,93,92,42,41,F,31,25.575,0
Team 1,Player #3,3,95,92,98,91,92,91,92,94,95,41,43,F,31,26.03,0
Team 1,Player #4,4,90,92,92,93,91,92,95,93,93,42,43,F,31,25.872,0
Team 1,Player #5,5,93,93,92,93,94,92,91,92,92,42,44,F,31,27.812,0
Team 1,Player #6,1,93,93,91,92,94,91,91,94,93,44,52,F,31,27.997,0
Team 1,Player #7,2,94,92,97,92,94,91,92,94,91,42,41,F,31,25.79,0
Team 1,Player #8,3,92,94,94,89,92,93,91,94,91,43,42,F,31,25.84,0
Team 1,Player #9,4,93,94,91,93,92,94,93,91,94,43,44,F,31,26.064,0
Team 1,Player #10,5,93,92,92,100,94,91,91,91,93,45,42,F,31,27.885,0
Team 1,Player #11,1,92,91,94,93,92,95,93,93,92,40,42,F,31,27.931,0
Team 1,Player #12,2,91,93,93,92,92,93,91,92,91,42,41,F,31,25.65,0
Team 1,Player #13,3,93,90,91,93,94,92,94,92,92,42,43,F,31,25.78,0
Team 1,Player #14,4,94,93,95,91,91,92,93,91,91,42,42,F,31,26.033,0
Team 1,Player #15,5,94,93,94,94,92,92,93,93,93,43,43,F,31,27.977,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,49 - 35
Team 2,Player #1,1,97,88,89,74,80,96,104,102,95,64,65,C+,31,28.624,0
Team 2,Player #2,2,86,96,89,79,81,86,97,103,81,50,62,C+,31,25.788,0
Team 2,Player #3,3,93,109,87,79,92,91,98,101,92,50,57,C+,31,27.3,0
Team 2,Player #4,4,87,81,81,96,78,85,79,88,94,57,74,C+,31,24.874,0
Team 2,Player #5,5,88,101,96,91,114,78,94,74,99,50,60,C+,31,28.961,0
Team 2,Player #6,1,96,107,90,80,86,80,92,94,80,50,76,C+,31,29.432,0
Team 2,Player #7,2,87,97,81,74,85,105,79,112,94,50,50,C+,31,26.14,0
Team 2,Player #8,3,112,92,107,89,99,87,95,86,96,56,70,C+,31,27.79,0
