Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,39 - 45
Team 0,Player #1,1,95,93,50,34,46,44,75,95,76,50,58,A+,30,26.606,0
Team 0,Player #2,2,84,69,67,29,52,66,75,108,54,64,65,A+,30,23.3065,0
Team 0,Player #3,3,60,69,85,28,56,70,52,57,73,50,75,A+,30,21.285,0
Team 0,Player #4,4,62,60,82,89,76,50,76,53,66,58,67,A+,30,21.591,0
Team 0,Player #5,5,69,34,93,93,102,70,45,35,71,73,57,A+,30,24.002,0
Team 0,Player #6,1,95,101,50,20,42,53,53,109,63,66,65,A+,30,27.289,0
Team 0,Player #7,2,92,81,77,35,44,40,50,97,59,66,66,A+,30,23.5735,0
Team 0,Player #8,3,91,70,72,52,38,70,51,46,58,66,76,A+,30,23.145,0
Team 0,Player #9,4,53,44,69,87,60,70,77,37,60,59,110,A+,30,20.34,0
Team 0,Player #10,5,44,36,77,71,99,65,51,29,58,81,82,A+,30,20.386,0
Team 0,Player #11,1,104,93,36,28,47,77,44,108,70,71,58,A+,30,27.936,0
Team 0,Player #12,2,51,97,54,45,44,44,76,94,34,67,66,A+,30,24.2015,0
Team 0,Player #13,3,92,47,59,43,42,52,64,70,87,78,72,A+,30,23.545,0
Team 0,Player #14,4,60,69,70,81,70,56,84,28,83,75,67,A+,30,22.102,0
Team 0,Player #15,5,61,53,69,83,103,69,69,49,82,50,65,A+,30,23.108,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,71 - 13
Team 1,Player #1,1,104,102,100,100,100,100,100,100,100,50,50,F,30,29.6274594594595,0
Team 1,Player #2,2,101,101,100,100,100,100,100,101,100,50,50,F,30,27.021,0
Team 1,Player #3,3,103,100,106,100,100,100,100,100,102,50,50,F,30,27.38,0
Team 1,Player #4,4,100,100,100,101,100,100,103,100,101,50,51,F,30,27.252,0
Team 1,Player #5,5,101,100,100,101,102,100,100,100,100,50,50,F,30,29.359,0
Team 1,Player #6,1,100,101,100,100,102,100,100,100,101,51,52,F,30,29.55,0
