Team #0,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,55 - 29
Team 0,Player #1,1,103,100,50,34,46,44,82,101,76,50,65,A+,33,27.926,0
Team 0,Player #2,2,92,77,75,29,58,75,75,108,54,64,73,A+,33,24.5065,0
Team 0,Player #3,3,67,69,85,36,56,70,52,57,73,50,75,A+,33,21.465,0
Team 0,Player #4,4,71,60,90,98,76,50,85,53,66,58,75,A+,33,22.858,0
Team 0,Player #5,5,78,34,99,93,109,70,45,35,71,73,57,A+,33,25.327,0
Team 0,Player #6,1,95,109,50,20,42,53,62,117,69,66,65,A+,33,28.713,0
Team 0,Player #7,2,92,90,77,35,44,40,59,106,67,66,73,A+,33,24.0075,0
Team 0,Player #8,3,99,77,80,60,45,70,58,54,66,66,76,A+,33,24.505,0
Team 0,Player #9,4,60,44,75,87,67,70,84,37,60,59,110,A+,33,21.33,0
Team 0,Player #10,5,52,44,84,71,108,65,51,29,65,81,82,A+,33,21.701,0
Team 0,Player #11,1,112,101,44,28,54,86,51,117,78,71,58,A+,33,29.594,0
Team 0,Player #12,2,58,106,64,45,44,44,84,101,34,67,66,A+,33,25.5235,0
Team 0,Player #13,3,102,47,69,50,47,52,74,70,96,78,80,A+,33,25.055,0
Team 0,Player #14,4,60,77,79,90,78,56,84,28,90,75,67,A+,33,23.35,0
Team 0,Player #15,5,61,53,69,90,112,76,69,49,91,50,65,A+,33,23.532,0
Team #1,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,47 - 37
Team 1,Player #1,1,79,78,77,75,83,75,76,75,85,24,24,F,33,24.7753208722894,0
Team 1,Player #2,2,77,75,83,74,84,79,76,78,76,26,25,F,33,23.064,0
Team 1,Player #3,3,78,75,83,73,74,84,78,78,79,23,28,F,33,23.29,0
Team 1,Player #4,4,72,77,76,78,76,76,79,77,84,26,27,F,33,23.313,0
Team 1,Player #5,5,77,76,77,85,76,78,74,74,81,27,29,F,33,24.855,0
Team 1,Player #6,1,78,77,74,77,79,76,75,79,78,28,36,F,33,25.063,0
Team 1,Player #7,2,80,76,84,77,78,73,73,79,74,28,30,F,33,23.266,0
Team 1,Player #8,3,76,79,77,74,77,74,73,77,77,25,27,F,33,23.19,0
Team 1,Player #9,4,78,80,76,74,76,79,74,77,76,26,26,F,33,23.462,0
Team 1,Player #10,5,76,77,83,84,77,75,77,75,74,30,24,F,33,24.875,0
Team 1,Player #11,1,75,76,76,77,77,77,77,84,76,25,26,F,33,24.888,0
Team 1,Player #12,2,73,76,76,78,76,77,75,76,78,25,22,F,33,22.881,0
Team 1,Player #13,3,76,83,76,77,79,77,80,74,74,27,24,F,33,23.67,0
Team 1,Player #14,4,81,76,79,74,77,74,79,76,75,26,25,F,33,23.6,0
Team 1,Player #15,5,74,75,80,77,76,76,76,76,84,29,24,F,33,24.611,0
Team #2,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,61 - 23
Team 2,Player #1,1,97,88,89,74,80,96,104,102,95,64,65,C+,33,28.624,0
Team 2,Player #2,2,86,96,89,79,81,86,97,103,81,50,62,C+,33,25.788,0
Team 2,Player #3,3,93,109,87,79,92,91,98,101,92,50,57,C+,33,27.3,0
Team 2,Player #4,4,87,81,81,96,78,85,79,88,94,57,74,C+,33,24.874,0
Team 2,Player #5,5,88,101,96,91,114,78,94,74,99,50,60,C+,33,28.961,0
Team 2,Player #6,1,96,107,90,80,86,80,92,94,80,50,76,C+,33,29.432,0
Team 2,Player #7,2,87,97,81,74,85,105,79,112,94,50,50,C+,33,26.14,0
Team 2,Player #8,3,112,92,107,89,99,87,95,86,96,56,70,C+,33,27.79,0
Team 2,Player #9,4,85,89,89,102,87,98,85,84,98,65,67,C+,33,25.538,0
Team 2,Player #10,5,92,91,90,85,122,86,87,91,107,62,63,C+,33,28.024,0
Team 2,Player #11,1,101,92,80,74,89,105,90,110,86,57,63,C+,33,29.144,0
Team 2,Player #12,2,89,100,92,74,80,88,85,104,89,57,69,C+,33,26.176,0
Team 2,Player #13,3,85,102,115,80,80,92,80,90,81,55,63,C+,33,26.38,0
Team 2,Player #14,4,105,86,105,104,86,87,93,93,94,57,56,C+,33,27.363,0
Team 2,Player #15,5,87,84,90,96,107,99,84,80,90,50,69,C+,33,27.17,0
Team #3,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,26 - 58
Team 3,Player #1,1,62,60,61,52,57,58,75,82,63,38,51,D+,33,22.277,0
Team 3,Player #2,2,64,73,63,55,57,53,59,82,64,39,44,D+,33,21.704,0
Team 3,Player #3,3,66,69,73,52,51,57,49,52,76,43,44,D+,33,21,0
Team 3,Player #4,4,65,63,64,73,63,64,53,49,66,38,58,D+,33,21.01,0
Team 3,Player #5,5,60,61,74,75,73,60,54,66,69,49,43,D+,33,22.215,0
Team 3,Player #6,1,76,75,60,60,55,68,54,77,61,44,49,D+,33,23.999,0
Team 3,Player #7,2,80,65,64,59,51,52,57,73,60,39,45,D+,33,22.289,0
Team 3,Player #8,3,56,71,64,57,54,62,62,59,72,44,36,D+,33,21.4,0
Team 3,Player #9,4,60,77,58,56,49,57,55,52,65,38,50,D+,33,21.742,0
Team 3,Player #10,5,61,56,67,63,60,66,51,52,63,40,52,D+,33,21.688,0
Team 3,Player #11,1,63,76,56,53,57,50,61,68,65,38,40,D+,33,23.671,0
Team 3,Player #12,2,77,66,50,52,54,72,53,58,71,41,49,D+,33,22.038,0
Team 3,Player #13,3,61,54,67,57,62,50,71,55,71,39,51,D+,33,20.43,0
Team 3,Player #14,4,52,53,54,65,65,49,59,57,61,37,42,D+,33,19.537,0
Team 3,Player #15,5,59,65,70,78,66,60,51,57,61,42,51,D+,33,22.415,0
Team #4,Player,Position,Layup,Dunk,Jumpshot,3PT,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Durability,Stamina,Development,Age,Overall,45 - 39
Team 4,Player #1,1,105,110,79,62,78,71,75,96,85,56,70,B+,33,29.411,0
Team 4,Player #2,2,79,84,80,75,72,75,87,110,97,76,65,B+,33,24.371,0
Team 4,Player #3,3,102,67,94,83,75,92,78,73,99,55,68,B+,33,26.14,0
Team 4,Player #4,4,85,94,96,81,79,75,79,74,84,59,66,B+,33,25.312,0
Team 4,Player #5,5,82,78,62,96,98,76,69,84,81,50,73,B+,33,25.693,0
Team 4,Player #6,1,107,106,85,68,73,81,86,92,73,56,79,B+,33,29.122,0
